,ts_code,symbol,name,exchange_id,list_status,list_date
3266,603336.SH,603336,宏辉果蔬,SSE,L,20161124
3267,603337.SH,603337,杰克股份,SSE,L,20170119
3268,603338.SH,603338,浙江鼎力,SSE,L,20150325
3269,603339.SH,603339,四方科技,SSE,L,20160519
3270,603345.SH,603345,安井食品,SSE,L,20170222
3271,603348.SH,603348,文灿股份,SSE,L,20180426
3272,603355.SH,603355,莱克电气,SSE,L,20150513
3273,603356.SH,603356,华菱精工,SSE,L,20180124
3274,603357.SH,603357,设计总院,SSE,L,20170801
3275,603358.SH,603358,华达科技,SSE,L,20170125
3276,603359.SH,603359,东珠生态,SSE,L,20170901
3277,603360.SH,603360,百傲化学,SSE,L,20170206
3278,603363.SH,603363,傲农生物,SSE,L,20170926
3279,603365.SH,603365,水星家纺,SSE,L,20171120
3280,603366.SH,603366,日出东方,SSE,L,20120521
3281,603367.SH,603367,辰欣药业,SSE,L,20170929
3282,603368.SH,603368,柳药股份,SSE,L,20141204
3283,603369.SH,603369,今世缘,SSE,L,20140703
3284,603377.SH,603377,东方时尚,SSE,L,20160205
3285,603378.SH,603378,亚士创能,SSE,L,20170928
3286,603380.SH,603380,易德龙,SSE,L,20170622
3287,603383.SH,603383,顶点软件,SSE,L,20170522
3288,603385.SH,603385,惠达卫浴,SSE,L,20170405
3289,603386.SH,603386,广东骏亚,SSE,L,20170912
3290,603387.SH,603387,基蛋生物,SSE,L,20170717
3291,603388.SH,603388,元成股份,SSE,L,20170324
3292,603389.SH,603389,亚振家居,SSE,L,20161215
3293,603393.SH,603393,新天然气,SSE,L,20160912
3294,603396.SH,603396,金辰股份,SSE,L,20171018
3295,603398.SH,603398,邦宝益智,SSE,L,20151209
3296,603399.SH,603399,吉翔股份,SSE,L,20120824
3297,603416.SH,603416,信捷电气,SSE,L,20161221
3298,603421.SH,603421,鼎信通讯,SSE,L,20161011
3299,603429.SH,603429,集友股份,SSE,L,20170124
3300,603444.SH,603444,吉比特,SSE,L,20170104
3301,603456.SH,603456,九洲药业,SSE,L,20141010
3302,603458.SH,603458,勘设股份,SSE,L,20170809
3303,603466.SH,603466,风语筑,SSE,L,20171020
3304,603477.SH,603477,振静股份,SSE,L,20171218
3305,603486.SH,603486,科沃斯,SSE,L,20180528
3306,603488.SH,603488,展鹏科技,SSE,L,20170516
3307,603496.SH,603496,恒为科技,SSE,L,20170607
3308,603499.SH,603499,翔港科技,SSE,L,20171016
3309,603500.SH,603500,祥和实业,SSE,L,20170904
3310,603501.SH,603501,韦尔股份,SSE,L,20170504
3311,603505.SH,603505,金石资源,SSE,L,20170503
3312,603506.SH,603506,南都物业,SSE,L,20180201
3313,603507.SH,603507,振江股份,SSE,L,20171106
3314,603508.SH,603508,思维列控,SSE,L,20151224
3315,603515.SH,603515,欧普照明,SSE,L,20160819
3316,603516.SH,603516,淳中科技,SSE,L,20180202
3317,603517.SH,603517,绝味食品,SSE,L,20170317
3318,603518.SH,603518,维格娜丝,SSE,L,20141203
3319,603519.SH,603519,立霸股份,SSE,L,20150319
3320,603520.SH,603520,司太立,SSE,L,20160309
3321,603527.SH,603527,众源新材,SSE,L,20170907
3322,603528.SH,603528,多伦科技,SSE,L,20160503
3323,603533.SH,603533,掌阅科技,SSE,L,20170921
3324,603535.SH,603535,嘉诚国际,SSE,L,20170808
3325,603536.SH,603536,惠发股份,SSE,L,20170613
3326,603538.SH,603538,美诺华,SSE,L,20170407
3327,603555.SH,603555,贵人鸟,SSE,L,20140124
3328,603556.SH,603556,海兴电力,SSE,L,20161110
3329,603557.SH,603557,起步股份,SSE,L,20170818
3330,603558.SH,603558,健盛集团,SSE,L,20150127
3331,603559.SH,603559,中通国脉,SSE,L,20161202
3332,603566.SH,603566,普莱柯,SSE,L,20150518
3333,603567.SH,603567,珍宝岛,SSE,L,20150424
3334,603568.SH,603568,伟明环保,SSE,L,20150528
3335,603569.SH,603569,长久物流,SSE,L,20160810
3336,603577.SH,603577,汇金通,SSE,L,20161222
3337,603578.SH,603578,三星新材,SSE,L,20170306
3338,603579.SH,603579,荣泰健康,SSE,L,20170111
3339,603580.SH,603580,艾艾精工,SSE,L,20170525
3340,603585.SH,603585,苏利股份,SSE,L,20161214
3341,603586.SH,603586,金麒麟,SSE,L,20170406
3342,603587.SH,603587,地素时尚,SSE,L,20180622
3343,603588.SH,603588,高能环境,SSE,L,20141229
3344,603589.SH,603589,口子窖,SSE,L,20150629
3345,603590.SH,603590,康辰药业,SSE,L,20180827
3346,603595.SH,603595,东尼电子,SSE,L,20170712
3347,603596.SH,603596,伯特利,SSE,L,20180427
3348,603598.SH,603598,引力传媒,SSE,L,20150527
3349,603599.SH,603599,广信股份,SSE,L,20150513
3350,603600.SH,603600,永艺股份,SSE,L,20150123
3351,603601.SH,603601,再升科技,SSE,L,20150122
3352,603602.SH,603602,纵横通信,SSE,L,20170810
3353,603603.SH,603603,博天环境,SSE,L,20170217
3354,603605.SH,603605,珀莱雅,SSE,L,20171115
3355,603606.SH,603606,东方电缆,SSE,L,20141015
3356,603607.SH,603607,京华激光,SSE,L,20171025
3357,603608.SH,603608,天创时尚,SSE,L,20160218
3358,603609.SH,603609,禾丰牧业,SSE,L,20140808
3359,603611.SH,603611,诺力股份,SSE,L,20150128
3360,603612.SH,603612,索通发展,SSE,L,20170718
3361,603615.SH,603615,茶花股份,SSE,L,20170213
3362,603616.SH,603616,韩建河山,SSE,L,20150611
3363,603617.SH,603617,君禾股份,SSE,L,20170703
3364,603618.SH,603618,杭电股份,SSE,L,20150217
3365,603619.SH,603619,中曼石油,SSE,L,20171117
3366,603626.SH,603626,科森科技,SSE,L,20170209
3367,603628.SH,603628,清源股份,SSE,L,20170112
3368,603630.SH,603630,拉芳家化,SSE,L,20170313
3369,603633.SH,603633,徕木股份,SSE,L,20161117
3370,603636.SH,603636,南威软件,SSE,L,20141230
3371,603637.SH,603637,镇海股份,SSE,L,20170208
3372,603638.SH,603638,艾迪精密,SSE,L,20170120
3373,603639.SH,603639,海利尔,SSE,L,20170112
3374,603648.SH,603648,畅联股份,SSE,L,20170913
3375,603650.SH,603650,彤程新材,SSE,L,20180627
3376,603655.SH,603655,朗博科技,SSE,L,20171229
3377,603656.SH,603656,泰禾光电,SSE,L,20170321
3378,603657.SH,603657,春光科技,SSE,L,20180730
3379,603658.SH,603658,安图生物,SSE,L,20160901
3380,603659.SH,603659,璞泰来,SSE,L,20171103
3381,603660.SH,603660,苏州科达,SSE,L,20161201
3382,603661.SH,603661,恒林股份,SSE,L,20171121
3383,603663.SH,603663,三祥新材,SSE,L,20160801
3384,603665.SH,603665,康隆达,SSE,L,20170313
3385,603666.SH,603666,亿嘉和,SSE,L,20180612
3386,603667.SH,603667,五洲新春,SSE,L,20161025
3387,603668.SH,603668,天马科技,SSE,L,20170117
3388,603669.SH,603669,灵康药业,SSE,L,20150528
3389,603676.SH,603676,卫信康,SSE,L,20170721
3390,603677.SH,603677,奇精机械,SSE,L,20170206
3391,603678.SH,603678,火炬电子,SSE,L,20150126
3392,603679.SH,603679,华体科技,SSE,L,20170621
3393,603680.SH,603680,今创集团,SSE,L,20180227
3394,603683.SH,603683,晶华新材,SSE,L,20171020
3395,603685.SH,603685,晨丰科技,SSE,L,20171127
3396,603686.SH,603686,龙马环卫,SSE,L,20150126
3397,603688.SH,603688,石英股份,SSE,L,20141031
3398,603689.SH,603689,皖天然气,SSE,L,20170110
3399,603690.SH,603690,至纯科技,SSE,L,20170113
3400,603693.SH,603693,江苏新能,SSE,L,20180703
3401,603696.SH,603696,安记食品,SSE,L,20151209
3402,603698.SH,603698,航天工程,SSE,L,20150128
3403,603699.SH,603699,纽威股份,SSE,L,20140117
3404,603701.SH,603701,德宏股份,SSE,L,20160412
3405,603703.SH,603703,盛洋科技,SSE,L,20150423
